company,domain,source_url,gpt_score
PCL Construction Services,pcl.com,https://www.pcl.com/us/en,NO
Concrete Restoration & Protection Services in Canada & the ...,vector-construction.com,https://www.vector-construction.com/,NO
Construction | Lafarge Canada,lafarge.ca,https://www.lafarge.ca/en/lafarge-construction,YES
Bird Construction,bird.ca,https://www.bird.ca/,YES
Civil Construction,servcocanada.com,https://servcocanada.com/civil-construction/,NO
Civil Construction - Complex Concrete Works,tceont.com,https://tceont.com/what-we-do/civil-construction/,YES
Dufferin Construction: Home,dufferinconstruction.com,https://dufferinconstruction.com/,YES
CIF Construction | Concrete Contractor - Prince George BC,cifcon.com,https://www.cifcon.com/home/,YES
Civil Contracting,cimsltd.com,https://cimsltd.com/civil-contracting/,YES
From Cradle to Cradle: Lafarge's Concrete Recycling ...,lafarge.ca,https://www.lafarge.ca/en/cradle-cradle-lafarges-concrete-recycling-initiative,YES
Concrete recycling: driving circularity in Canada,heidelbergmaterials.com,https://www.heidelbergmaterials.com/en/pr-2025-06-05,YES
Concrete Recycling in Prince George,recyclecorp.ca,https://www.recyclecorp.ca/concrete,YES
Eco-Agg Concrete Recycling,recycleconcrete.ca,https://recycleconcrete.ca/,YES
On-Site Concrete Crushing & Recycling,priestly.ca,https://priestly.ca/services-solutions/concrete-crushing/,YES
Asphalt & Concrete Recycling - Heavy Equipment Supply ...,frontline-machinery.com,https://frontline-machinery.com/our-industries/asphalt-concrete-recycling/,YES
Concrete Recycling,concretealberta.ca,https://www.concretealberta.ca/sustainability/concrete-recycling,YES
Calgary Aggregate Recycling: Home,calgaryaggregate.com,https://calgaryaggregate.com/,YES
"Ready Mix Concrete Solutions - Specialty, and Sustainable ...",cemexusa.com,https://www.cemexusa.com/products/ready-mix-concrete,YES
Home - Argos USA | Cement and Ready Mix Concrete Company,argos-us.com,https://argos-us.com/,YES
"Ready-mix Concrete, Sand, Stone and Gravel throughout the ...",chaneyenterprises.com,https://www.chaneyenterprises.com/,YES
Ready-Mix Concrete Manufacturing in the US - Market ...,ibisworld.com,https://www.ibisworld.com/united-states/industry/ready-mix-concrete-manufacturing/552/,NO
Silvi Materials: Ready-Mix Concrete Suppliers,silvi.com,https://www.silvi.com/,YES
Top 11 Green Ready-Mix Concrete Producers in North ...,giatecscientific.com,https://www.giatecscientific.com/education/top-11-ready-mix-concrete-producers-in-north-america/,NO
Ready Mixed Concrete,crhamericasmaterials.com,https://www.crhamericasmaterials.com/products-and-services/ready-mixed-concrete,YES
Ready Mix USA | Concrete right. The first time. On time.,readymixusa.com,https://readymixusa.com/,YES
"Concrete Batch Plant Operator Jobs, Employment",indeed.com,https://www.indeed.com/q-concrete-batch-plant-operator-jobs.html,NO
10 Concrete Batching Plant Manufacturers in 2025,us.metoree.com,https://us.metoree.com/categories/100163/,NO
concrete batch plant operator jobs in united states,simplyhired.com,https://www.simplyhired.com/search?q=concrete+batch+plant+operator&l=united+states,NO
TOP 100 AMERICA'S PRECAST CONCRETE PRODUCERS,precastconcretemagnet.com,https://www.precastconcretemagnet.com/info/top-100-america-s-precast-concrete-producers-76970891.html,YES
Precast Manufacturing Company: HOME,precastmfgco.com,https://www.precastmfgco.com/,YES
Precast Concrete Solutions | Fabcon,fabconprecast.com,https://fabconprecast.com/,YES
USA Precast Concrete | Precast Concrete Products,usaprecast.com,https://usaprecast.com/,YES
Top 10 Precast Concrete Companies - 2024,precast-concrete.constructionbusinessreview.com,https://precast-concrete.constructionbusinessreview.com/vendors/top-precast-concrete-companies.html,YES
Lindsay Precast | Home | North American Concrete and Steel ...,lindsayprecast.com,https://www.lindsayprecast.com/,YES
Gate Precast Concrete | Architectural Precast Concrete,gateprecast.com,https://gateprecast.com/,YES
Central Civil Construction Medley Florida 305-888-3344,centralcivil.com,https://www.centralcivil.com/,YES
Baker Construction: Home - Concrete Construction Company,bakerconstruction.com,https://bakerconstruction.com/,YES
American Civil Construction | Serving Florida,americancivilconstruction.com,https://www.americancivilconstruction.com/,NO
Civil contractors - Argos USA | Cement and Ready Mix ...,argos-us.com,https://argos-us.com/who-we-serve/solutions-for-civil-contractors/,YES
"Gregory Construction | Concrete Results, Civil Solutions",gregoryconstruction.com,https://gregoryconstruction.com/,YES
Civil - UAG Construction Miami Florida,uagconstruction.com,https://uagconstruction.com/civil/,YES
Civil Construction Contractors: Home,civil-construction.com,https://civil-construction.com/,YES
DPR Construction: Homepage,dpr.com,https://www.dpr.com/,NO
reCO₂ver Concrete Recycling,sika.com,https://www.sika.com/en/knowledge-hub/reco2ver-concrete-recycling.html,NO
On-Site Concrete Recycling,rubblemaster.com,https://www.rubblemaster.com/us/materials/recycling,YES
World's first fully recycled concrete building,holcim.com,https://www.holcim.com/who-we-are/our-stories/fully-recycled-concrete-building,YES
Argent Materials,argentmaterials.com,https://argentmaterials.com/,YES
Concrete Recycling - Diligent Services,mydiligent.com,https://www.mydiligent.com/concrete-recycling/,YES
West Region,arcosacrushedconcrete.com,https://arcosacrushedconcrete.com/region/west/,YES
Recycled Materials - Asphalt Concrete,graniteconstruction.com,https://www.graniteconstruction.com/materials/recycled-materials,YES
